district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
101803,572.0,550.0,1122.0,51966.0,10385963.0,80.0,3.3003300330033,10.231023102310232,52.310231023102304,31.765676567656765,47.68976897689769,4.455445544554455,0.0,50.24752475247525,TX,1212.0
101803,572.0,550.0,1122.0,51966.0,10385963.0,80.0,3.3003300330033,10.231023102310232,52.310231023102304,31.765676567656765,47.68976897689769,4.455445544554455,0.0,50.24752475247525,TX,1212.0
101837,466.0,469.0,934.0,65810.875,2725104.0,100.0,0.0,18.30985915492958,47.53521126760563,65.14084507042254,52.46478873239436,0.0,0.0,16.549295774647888,TX,284.0
101837,466.0,469.0,934.0,65810.875,2725104.0,100.0,0.0,18.30985915492958,47.53521126760563,65.14084507042254,52.46478873239436,0.0,0.0,16.549295774647888,TX,284.0
101902,433.0,435.0,870.0,64013.375,755435991.0,81.1,0.980663208053473,21.576216884320772,49.11772837418075,74.11732179739465,51.116459854608145,1.1546780725007726,0.4293450861129633,1.9759631804062514,TX,61489.0
101902,433.0,435.0,870.0,64013.375,755435991.0,83.1,0.980663208053473,21.576216884320772,49.11772837418075,74.11732179739465,51.116459854608145,1.1546780725007726,0.4293450861129633,1.9759631804062514,TX,61489.0
101903,447.0,462.0,900.0,64781.875,509388390.0,86.4,10.144389132426877,26.87173390791787,48.30225128167026,59.214404240037645,52.40854942170047,0.3293954479035094,0.8395868935284939,3.3112910815563312,TX,40377.0
101903,447.0,462.0,900.0,64781.875,509388390.0,88.0,10.144389132426877,26.87173390791787,48.30225128167026,59.214404240037645,52.40854942170047,0.3293954479035094,0.8395868935284939,3.3112910815563312,TX,40377.0
101905,432.0,442.0,878.0,64677.13333333333,110788390.0,91.7,0.0,9.382689633037339,48.261474269819196,84.46560393709211,52.722798758960096,0.8879854498769659,0.9842730287792876,5.263720979993581,TX,9347.0
101905,432.0,442.0,878.0,64677.13333333333,110788390.0,92.2,0.0,9.382689633037339,48.261474269819196,84.46560393709211,52.722798758960096,0.8879854498769659,0.9842730287792876,5.263720979993581,TX,9347.0
101906,456.0,462.0,918.0,64608.0625,62293487.0,93.0,0.20158164056442862,13.118312916731275,48.426112575593116,47.030547371685536,51.573887424406884,2.9927120483795937,0.0,36.656846022639165,TX,6449.0
101906,456.0,462.0,918.0,64608.0625,62293487.0,93.6,0.20158164056442862,13.118312916731275,48.426112575593116,47.030547371685536,51.573887424406884,2.9927120483795937,0.0,36.656846022639165,TX,6449.0
101907,523.0,533.0,1048.0,64808.6,1211830920.0,92.2,9.476765145142739,20.25560915317666,49.0515509930819,45.06549018934647,51.55871800593961,3.317425711980499,0.7278595093814911,21.767119289993648,TX,116506.0
101907,523.0,533.0,1048.0,64808.6,1211830920.0,92.6,9.476765145142739,20.25560915317666,49.0515509930819,45.06549018934647,51.55871800593961,3.317425711980499,0.7278595093814911,21.767119289993648,TX,116506.0
101908,545.0,540.0,1085.0,65234.75,162523697.0,89.1,0.9247992212217084,2.5310294475541495,49.290176036342984,60.92317676644764,50.70982396365701,2.190313944998783,0.0,33.430680619777725,TX,12327.0
101908,545.0,540.0,1085.0,65234.75,162523697.0,90.7,0.9247992212217084,2.5310294475541495,49.290176036342984,60.92317676644764,50.70982396365701,2.190313944998783,0.0,33.430680619777725,TX,12327.0
102906,520.0,475.0,995.0,51120.4,10192680.0,98.5,0.0,12.5,47.549019607843135,5.514705882352941,52.450980392156865,2.2058823529411766,0.0,79.77941176470588,TX,816.0
102906,520.0,475.0,995.0,51120.4,10192680.0,98.5,0.0,12.5,47.549019607843135,5.514705882352941,52.450980392156865,2.2058823529411766,0.0,79.77941176470588,TX,816.0
105904,590.0,580.0,1170.0,55316.8,71560554.0,97.6,2.418849479884697,1.0903622007770397,49.116430630404814,20.17796716380499,50.883569369595186,5.025692442661988,0.0,71.28712871287128,TX,7979.0
105904,590.0,580.0,1170.0,55316.8,71560554.0,98.6,2.418849479884697,1.0903622007770397,49.116430630404814,20.17796716380499,50.883569369595186,5.025692442661988,0.0,71.28712871287128,TX,7979.0
107901,535.0,543.0,1078.0,56035.066666666666,30710740.0,92.4,0.0,12.001363791339925,47.323559495397205,50.869416979202185,52.676440504602795,4.84145925673372,0.0,32.287759972724174,TX,2933.0
107901,535.0,543.0,1078.0,56035.066666666666,30710740.0,95.1,0.0,12.001363791339925,47.323559495397205,50.869416979202185,52.676440504602795,4.84145925673372,0.0,32.287759972724174,TX,2933.0
107902,519.0,501.0,1019.0,49161.933333333334,28401100.0,98.2,0.0,5.8317025440313115,48.14090019569471,17.573385518590996,51.85909980430529,2.8962818003913893,0.0,73.6986301369863,TX,2555.0
107902,519.0,501.0,1019.0,49161.933333333334,28401100.0,98.2,0.0,5.8317025440313115,48.14090019569471,17.573385518590996,51.85909980430529,2.8962818003913893,0.0,73.6986301369863,TX,2555.0
107904,528.0,503.0,1031.0,46574.86666666667,6540069.0,100.0,0.0,0.0,50.0,13.671875,50.0,0.0,0.0,86.328125,TX,512.0
107904,528.0,503.0,1031.0,46574.86666666667,6540069.0,100.0,0.0,0.0,50.0,13.671875,50.0,0.0,0.0,86.328125,TX,512.0
107905,533.0,496.0,1028.0,58488.666666666664,19439929.0,96.7,0.0,0.0,48.21867321867322,14.557739557739557,51.78132678132678,3.86977886977887,0.0,81.57248157248156,TX,1628.0
107905,533.0,496.0,1028.0,58488.666666666664,19439929.0,96.7,0.0,0.0,48.21867321867322,14.557739557739557,51.78132678132678,3.86977886977887,0.0,81.57248157248156,TX,1628.0
108902,514.0,454.0,968.0,58382.875,167828212.0,89.7,0.0,0.0,48.371522722047665,99.78542417043451,51.628477277952335,0.0,0.0,0.21457582956548393,TX,13049.0
108902,514.0,454.0,968.0,58382.875,167828212.0,92.1,0.0,0.0,48.371522722047665,99.78542417043451,51.628477277952335,0.0,0.0,0.21457582956548393,TX,13049.0
