district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
490812000260000,481.0,465.3,946.3,53043.0,11731.64,92.3,0.0,0.0,50.11,6.3,49.89,3.1,0.0,89.8,IL,1335.3
490813000260000,483.7,468.1,951.8,58867.0,9971.94,87.0,0.0,0.0,50.19,1.8,49.81,2.5,0.0,95.2,IL,1039.215
500820090260000,485.4,445.0,930.4,56911.0,12297.36,75.0,0.0,16.6,48.18,5.0,51.82,9.2,0.0,67.1,IL,506.25
500820190260000,526.9,517.3,1044.1999999999998,56683.0,10743.79,87.6,1.8,10.4,47.16,10.0,52.84,8.5,0.8,68.6,IL,4112.305
500820400260000,433.0,446.5,879.5,49442.0,15225.73,87.5,0.0,0.0,48.97,3.6,51.03,4.0,0.0,91.1,IL,520.37
500820600260000,490.3,448.1,938.4000000000001,51578.0,11121.94,75.7,0.0,0.0,52.02,0.0,47.98,0.0,0.0,96.5,IL,490.67
500820770160000,518.8,498.9,1017.6999999999999,61027.0,11139.77,96.1,0.0,0.0,49.19,2.8,50.81,1.5,0.0,93.8,IL,703.325
500821870260000,410.3,385.0,795.3,60675.0,19398.95,65.2,0.0,88.6,49.76,1.9,50.24,4.9,0.0,4.4,IL,3152.0
500821890220000,390.0,371.4,761.4,71959.0,24448.7,71.1,0.0,96.8,48.77,1.6,51.23,0.5,0.0,1.0,IL,4709.54
500821960260000,448.6,424.3,872.9000000000001,50712.0,14615.47,80.3,0.0,6.5,47.07,4.0,52.93,6.7,0.0,82.5,IL,913.1
500822010170000,473.4,456.1,929.5,77943.0,17401.92,91.0,1.2,45.3,48.15,4.9,51.85,4.5,0.3,43.7,IL,4722.75
500822030170000,518.9,501.9,1020.8,66747.0,11963.49,91.9,1.9,22.4,48.63,7.0,51.37,8.2,0.0,60.3,IL,2497.5
510652020260000,479.4,472.6,952.0,50479.0,15277.3,75.9,0.0,0.0,46.96,0.0,53.04,3.7,0.0,94.5,IL,1003.5
510652130260000,485.7,456.3,942.0,48747.0,11427.74,86.7,0.0,1.6,50.64,1.9,49.36,4.1,0.0,91.8,IL,1008.5
510840010260000,450.8,419.2,870.0,48267.0,10900.92,88.1,0.0,0.0,46.27,1.9,53.73,3.9,0.0,92.5,IL,568.5
51084003A260000,503.0,478.9,981.9,55498.0,10134.86,94.7,1.7,1.9,49.28,1.3,50.72,3.9,0.0,91.0,IL,2114.5
510840050260000,519.2,498.3,1017.5,55930.0,10386.38,92.6,5.4,6.1,48.92,4.1,51.08,7.3,0.0,76.9,IL,4595.025
510840080260000,485.9,470.6,956.5,72531.0,11908.27,92.1,0.0,2.2,51.36,1.6,48.64,1.7,0.0,92.8,IL,1256.25
510840100260000,494.7,450.9,945.5999999999999,47632.0,10627.84,86.3,0.0,0.0,44.97,2.3,55.03,6.3,0.0,90.7,IL,1167.75
510840110260000,466.6,426.3,892.9000000000001,53481.0,13217.94,78.3,0.0,0.0,46.43,0.0,53.57,2.2,0.0,94.8,IL,532.5
510840140260000,465.6,441.6,907.2,54320.0,14881.85,82.8,0.0,5.9,47.48,1.7,52.52,4.4,0.0,86.8,IL,1258.25
510840150260000,517.7,484.7,1002.4000000000001,55562.0,9827.91,96.3,0.9,0.0,47.32,1.2,52.68,3.3,0.0,94.0,IL,1468.495
510840160260000,480.5,485.6,966.1,53684.0,13748.34,88.0,0.0,1.2,46.23,1.9,53.77,2.5,0.0,94.1,IL,857.5
510841860250000,459.3,441.2,900.5,73386.0,18954.12,68.6,2.6,43.2,47.97,3.4,52.03,12.9,0.30000000000000004,37.7,IL,13072.75
530601260260000,478.7,461.5,940.2,53763.0,12303.36,81.7,0.0,0.0,48.97,1.9,51.03,3.0,0.0,94.5,IL,875.5
530601890260000,486.3,441.6,927.9000000000001,46458.0,14416.59,86.3,0.0,0.0,47.0,2.4,53.0,2.6,0.0,94.3,IL,652.17
530601910260000,472.4,445.4,917.8,52585.0,12441.7,81.1,0.0,0.0,50.4,1.2,49.6,1.4,0.0,96.1,IL,870.445
530903030160000,471.4,471.1,942.5,54027.0,14000.72,88.0,1.2,0.6,46.38,3.7,53.62,3.9,0.0,90.4,IL,1781.15
530903080160000,528.4,525.5,1053.9,66808.0,12244.47,86.5,1.5,1.8,47.98,4.4,52.02,4.7,0.0,87.3,IL,1461.125
530903090160000,470.4,448.3,918.7,62719.0,14750.05,84.0,0.0,2.5,50.16,6.6,49.84,7.0,0.0,83.2,IL,937.46
530907010260000,492.1,457.4,949.5,50547.0,11246.49,93.6,0.0,0.0,45.23,1.8,54.77,1.2,0.0,95.8,IL,959.535
530907020260000,518.7,499.6,1018.3000000000001,59346.0,12018.15,95.7,0.0,1.4,50.92,3.2,49.08,3.1,0.0,91.9,IL,906.905
530907030260000,427.2,414.4,841.5999999999999,45652.0,13811.85,87.2,0.0,2.8,51.08,0.0,48.92,0.0,0.0,94.2,IL,435.05
530907090260000,520.1,500.7,1020.8,56209.0,11174.6,93.1,1.8,1.8,47.77,3.2,52.23,3.5,0.0,89.6,IL,3182.44
531020060260000,482.5,470.0,952.5,56434.0,18695.05,78.8,0.0,1.8,48.39,6.9,51.61,3.1,0.0,87.2,IL,836.0
531020110260000,508.6,496.4,1005.0,56921.0,12687.46,90.5,0.0,1.7,48.04,4.8,51.96,4.7,0.0,88.7,IL,1195.58
531020210260000,462.9,422.9,885.8,48285.0,15898.27,73.7,0.0,0.0,42.99,0.0,57.01,0.0,0.0,95.3,IL,310.77
531020600260000,502.0,484.7,986.7,54431.0,14134.06,90.2,0.0,0.0,52.85,0.0,47.15,3.2,0.0,94.1,IL,447.185
531021220170000,513.7,517.7,1031.4,74738.0,13700.73,95.0,0.0,1.2,48.74,4.5,51.26,4.3,0.0,89.5,IL,940.075
531021400260000,523.7,515.0,1038.7,61313.0,10833.59,92.6,0.0,0.9,47.71,2.3,52.29,3.1,0.0,93.3,IL,1494.925
540920020260000,450.3,433.3,883.6,44636.0,13192.36,85.3,0.0,1.4,48.75,3.5,51.25,5.5,0.0,89.1,IL,1175.745
