,district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state
172,7150000,619.0,597.0,1216.0,76663.0,20817.31,97.2,2.2,2.9,50.3,6.3,49.3,4.8,0.0,83.9,MA
173,4700000,588.0,595.0,1183.0,73823.0,15001.0,100.0,25.6,18.8,52.1,11.1,47.9,5.2,0.4,38.9,MA
174,1970000,520.0,501.0,1021.0,94348.0,25267.23,92.6,1.4,8.6,48.4,39.2,51.6,4.5,0.1,46.1,MA
175,7200000,575.0,527.0,1102.0,67651.0,14990.67,90.5,0.7,0.9,47.8,9.0,52.1,3.5,0.2,85.8,MA
176,7250000,590.0,593.0,1183.0,84578.0,19569.91,95.6,3.9,1.4,49.4,7.4,50.5,3.9,0.2,83.3,MA
177,8520000,541.0,516.0,1057.0,86545.0,20629.19,96.6,1.6,2.0,38.5,8.0,60.3,3.1,0.5,84.6,MA
178,1980000,597.0,589.0,1186.0,84410.0,17396.77,95.3,10.8,2.7,47.8,7.1,52.1,5.9,0.1,73.4,MA
179,6600000,582.0,556.0,1138.0,94540.0,23259.47,95.4,2.0,5.4,52.4,5.5,47.2,3.1,0.2,83.8,MA
180,1990000,637.0,640.0,1277.0,98388.0,21146.56,98.0,10.8,3.1,49.3,6.6,50.4,5.8,0.2,73.6,MA
181,4440000,433.0,441.0,874.0,67447.0,21392.79,75.4,2.2,54.1,49.3,25.5,50.7,6.0,0.8,11.4,MA
182,2010000,511.0,478.0,989.0,78322.0,17459.84,75.1,0.8,13.4,47.6,42.5,52.4,5.4,0.5,37.5,MA
183,35130000,483.0,496.0,979.0,69787.0,17839.32,92.5,0.5,88.8,50.5,6.6,49.5,2.2,0.2,1.6,MA
184,2040000,587.0,574.0,1161.0,89540.0,19971.98,96.6,1.4,0.9,50.2,4.7,49.8,2.5,0.0,90.4,MA
185,2070000,629.0,638.0,1267.0,93031.0,23431.12,96.2,20.2,4.7,48.9,9.4,50.9,8.1,0.2,57.5,MA
186,9150000,557.0,507.0,1064.0,82673.0,23658.3,98.6,0.9,1.9,74.1,0.9,25.3,4.3,1.2,91.0,MA
187,2090000,488.0,429.0,917.0,67598.0,19460.82,89.2,0.6,1.8,50.0,7.6,50.0,9.3,0.4,80.2,MA
188,2110000,577.0,567.0,1144.0,83256.0,16052.29,97.5,7.3,2.9,48.1,13.9,51.9,3.8,0.2,71.9,MA
189,2120000,576.0,568.0,1144.0,83320.0,14664.85,93.5,8.3,4.9,48.4,5.9,51.4,4.1,0.5,76.4,MA
190,2150000,,,,86494.0,17162.11,72.7,0.9,1.8,50.0,8.6,50.0,2.6,0.0,86.1,MA
191,7350000,547.0,531.0,1078.0,77865.0,18224.71,92.3,1.8,2.0,48.6,6.5,51.4,3.6,0.2,85.9,MA
192,2170000,581.0,576.0,1157.0,84051.0,19035.75,98.2,4.9,0.6,48.6,4.0,51.4,3.4,0.1,86.9,MA
193,2100000,618.0,583.0,1201.0,70607.0,17616.27,96.4,3.2,2.9,47.5,16.8,51.7,7.1,0.2,69.8,MA
194,4060000,492.0,471.0,963.0,70852.0,23303.33,94.8,0.5,1.6,41.1,12.6,58.3,1.5,0.4,83.4,MA
195,7300000,616.0,626.0,1242.0,93677.0,19683.27,97.6,13.2,1.7,52.7,7.6,47.2,4.5,0.8,72.2,MA
196,2140000,542.0,532.0,1074.0,76766.0,16675.15,86.3,0.8,1.1,48.5,9.5,51.5,5.0,0.1,83.6,MA
197,8530000,482.0,467.0,949.0,92908.0,21825.6,98.4,1.4,4.6,44.0,37.8,55.9,1.1,0.30000000000000004,54.9,MA
198,8510000,535.0,493.0,1028.0,87421.0,24890.29,94.4,0.6,0.6,38.8,1.3,61.2,1.5,0.2,95.8,MA
199,2180000,564.0,548.0,1112.0,85931.0,17349.52,95.2,1.5,3.2,50.1,3.8,49.8,3.7,0.2,87.6,MA
200,2190000,602.0,574.0,1176.0,92140.0,17246.65,98.8,2.5,0.6,47.7,1.5,52.2,3.8,0.0,91.4,MA
201,2200000,556.0,548.0,1104.0,85184.0,20402.34,95.5,7.7,12.2,50.3,17.7,49.5,3.0,0.7999999999999999,58.6,MA
202,8550000,535.0,542.0,1077.0,80014.0,22711.27,99.2,1.1,0.4,35.5,2.0,64.3,3.0,0.2,93.4,MA
203,7400000,572.0,564.0,1136.0,86525.0,18163.85,95.5,1.5,2.4,47.8,2.0,52.2,5.2,0.0,89.0,MA
204,2260000,527.0,516.0,1043.0,74441.0,16137.05,86.5,0.9,2.5,49.5,15.3,50.1,4.7,0.2,76.4,MA
205,2270000,545.0,531.0,1076.0,72724.0,17549.4,88.2,2.7,3.0,48.1,14.3,51.8,4.5,0.1,75.4,MA
206,8600000,527.0,524.0,1051.0,77432.0,24381.2,84.4,0.0,1.7,38.8,7.9,60.6,4.1,0.2,86.0,MA
207,35010000,412.0,399.0,811.0,60801.0,19556.68,66.7,0.0,10.3,55.6,86.0,44.4,0.8,0.0,2.9,MA
208,2290000,535.0,530.0,1065.0,92538.0,16188.62,84.3,2.4,4.0,49.4,21.3,50.5,2.2,0.4,69.8,MA
209,2310000,570.0,560.0,1130.0,83589.0,16435.27,95.6,1.0,0.6,48.1,2.0,51.8,3.2,0.1,93.2,MA
210,7450000,584.0,563.0,1147.0,80930.0,17931.97,97.3,1.0,0.3,47.4,7.0,52.5,2.5,0.0,89.1,MA
211,4940000,558.0,598.0,1156.0,59718.0,16080.76,98.1,6.6,23.6,52.1,27.6,47.9,2.7,1.2,38.3,MA
212,35060000,566.0,617.0,1183.0,56727.0,16308.22,100.0,14.1,35.9,55.1,24.2,44.9,2.7,0.5,22.6,MA
213,7500000,550.0,496.0,1046.0,67774.0,23884.6,96.3,0.3,0.3,49.9,2.7,50.1,4.6,0.7,91.5,MA
214,4970000,648.0,632.0,1280.0,55744.0,17912.21,100.0,18.5,10.0,49.8,10.1,50.0,13.3,0.2,47.9,MA
215,4790000,565.0,499.0,1064.0,53671.0,17972.7,96.7,1.0,8.3,65.0,19.3,34.0,6.8,0.0,64.8,MA
216,2360000,556.0,538.0,1094.0,67083.0,18360.88,84.3,1.2,11.6,49.1,17.3,50.8,10.3,0.3,59.2,MA
217,2390000,539.0,521.0,1060.0,77353.0,19562.98,96.2,0.9,2.3,47.1,7.6,52.9,4.8,0.30000000000000004,84.1,MA
218,4870000,498.0,471.0,969.0,78679.0,23236.3,85.5,7.5,55.1,50.5,22.2,49.5,4.4,0.2,10.7,MA
219,7530000,564.0,559.0,1123.0,78894.0,17883.41,83.6,1.2,1.2,50.3,6.1,49.5,2.4,0.1,88.9,MA
220,7780000,587.0,555.0,1142.0,72698.0,16982.58,83.9,0.4,1.0,49.6,7.8,50.0,4.8,0.2,85.8,MA
221,2430000,562.0,574.0,1136.0,86353.0,18338.85,93.6,39.8,7.9,47.5,8.5,52.5,4.0,0.5,39.3,MA
222,7550000,606.0,541.0,1147.0,68123.0,18682.74,80.9,1.3,1.6,48.7,7.0,51.0,3.8,0.2,86.2,MA
223,2440000,538.0,552.0,1090.0,89718.0,19438.97,79.1,17.3,50.1,47.2,16.1,52.7,4.6,0.5,11.5,MA
224,2460000,581.0,586.0,1167.0,83378.0,16616.08,99.0,5.3,2.5,47.9,3.7,52.0,2.8,0.1,85.6,MA
