,district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state
18,180000,534.0,526.0,1060.0,86036.0,18771.55,83.3,4.6,31.2,49.0,12.0,51.0,7.7,0.6,43.9,MA
19,6160000,550.0,518.0,1068.0,72701.0,18363.89,82.7,3.6,4.5,46.9,12.4,53.1,4.7,1.1,73.7,MA
20,200000,559.0,550.0,1109.0,85472.0,19121.39,85.4,2.0,8.7,48.0,22.5,51.8,7.6,0.5,58.7,MA
21,35020000,452.0,443.0,895.0,50570.0,17162.04,87.5,0.7,29.8,45.2,63.6,54.8,0.9,0.4,4.6,MA
22,230000,618.0,620.0,1238.0,102581.0,21372.7,98.2,20.4,6.3,47.8,6.9,52.1,6.1,0.0,60.3,MA
23,240000,571.0,559.0,1130.0,75874.0,15420.41,90.7,1.1,1.3,49.3,7.3,50.3,3.6,0.30000000000000004,86.4,MA
24,250000,550.0,527.0,1077.0,85213.0,19438.2,87.0,2.5,1.8,50.8,9.8,49.1,3.2,0.4,82.3,MA
25,260000,653.0,662.0,1315.0,101061.0,17450.83,97.4,21.3,3.7,50.6,4.8,49.3,8.1,0.2,62.0,MA
26,4140000,555.0,535.0,1090.0,53645.0,18349.64,90.7,2.2,10.7,44.5,14.2,52.7,5.5,0.0,67.5,MA
27,6180000,557.0,539.0,1096.0,83528.0,23998.57,92.6,2.5,1.9,49.7,12.6,50.3,6.1,0.5,76.5,MA
28,6200000,567.0,563.0,1130.0,77040.0,17386.56,98.7,4.7,1.3,49.3,7.4,50.3,3.8,0.5,82.2,MA
29,300000,546.0,517.0,1063.0,84765.0,16081.38,90.3,2.3,3.7,47.8,14.9,52.1,4.2,0.1,74.8,MA
30,310000,535.0,529.0,1064.0,96126.0,19448.64,95.4,9.9,5.1,50.1,8.7,49.8,3.3,0.2,72.9,MA
31,8050000,565.0,542.0,1107.0,84520.0,21509.51,100.0,2.0,1.4,49.1,8.9,50.6,2.1,0.1,85.5,MA
32,6220000,547.0,509.0,1056.0,82251.0,15554.2,89.5,1.0,1.8,48.2,7.9,51.5,4.4,0.0,84.9,MA
33,8060000,517.0,501.0,1018.0,96122.0,23629.7,99.5,2.2,20.1,47.4,16.6,52.6,6.9,0.5,53.8,MA
34,350000,502.0,507.0,1009.0,104813.0,26589.17,81.0,8.9,29.0,48.1,43.0,51.8,3.5,0.5,15.2,MA
35,4490000,514.0,505.0,1019.0,80772.0,23073.48,91.3,2.4,33.9,49.9,18.5,50.0,3.3,0.1,41.7,MA
36,4240000,496.0,489.0,985.0,116644.0,19085.9,5.4,1.4,46.6,54.9,46.6,45.1,0.9,0.9,3.7,MA
37,4110000,415.0,390.0,805.0,92939.0,17473.88,86.1,1.9,43.8,46.1,44.4,53.9,2.7,0.8,6.4,MA
38,4160000,437.0,444.0,881.0,76320.0,24681.45,87.9,0.4,66.4,50.0,28.7,50.0,3.2,0.1,1.1,MA
39,360000,534.0,500.0,1034.0,94325.0,20294.55,93.9,2.1,1.4,50.7,4.5,49.3,5.4,0.8,85.7,MA
40,400000,562.0,568.0,1130.0,90218.0,17464.59,96.3,24.8,5.0,49.2,5.6,50.7,2.6,0.30000000000000004,61.7,MA
41,6250000,553.0,551.0,1104.0,92617.0,14606.21,94.1,2.4,8.9,48.3,4.6,51.7,5.0,0.2,79.0,MA
42,9100000,550.0,519.0,1069.0,76115.0,21286.32,98.0,0.2,2.8,71.7,9.0,28.3,0.4,0.2,87.4,MA
43,8100000,506.0,510.0,1016.0,94783.0,20069.67,96.3,0.9,3.7,40.8,6.2,59.2,3.8,0.3,85.2,MA
44,440000,509.0,499.0,1008.0,102794.0,17067.61,79.2,1.8,59.5,47.0,19.2,53.0,4.7,0.30000000000000004,14.4,MA
45,4280000,490.0,528.0,1018.0,77671.0,21044.44,92.8,1.7,51.9,51.7,39.1,48.3,2.6,0.30000000000000004,4.4,MA
46,460000,644.0,650.0,1294.0,101158.0,25689.75,93.9,19.5,6.4,48.8,11.4,50.9,11.4,0.0,51.2,MA
47,480000,584.0,575.0,1159.0,99104.0,24192.14,93.7,17.5,7.7,49.5,8.8,50.4,4.3,0.3,61.4,MA
48,490000,604.0,590.0,1194.0,96662.0,35113.7,92.3,12.7,23.2,49.0,14.1,50.7,10.4,0.30000000000000004,39.3,MA
49,500000,565.0,569.0,1134.0,93030.0,20012.55,96.9,11.1,11.3,50.8,6.8,49.0,6.7,0.30000000000000004,63.8,MA
50,8150000,516.0,491.0,1007.0,92887.0,25144.25,93.3,1.1,6.7,37.2,10.7,62.5,4.0,1.4,76.1,MA
51,520000,543.0,528.0,1071.0,73358.0,17398.01,91.8,0.2,2.5,49.1,2.7,50.9,1.4,0.5,92.7,MA
52,6350000,536.0,530.0,1066.0,80278.0,17106.95,96.6,0.6,0.5,48.7,4.9,51.3,4.7,0.1,89.1,MA
53,560000,579.0,583.0,1162.0,82957.0,17193.1,94.9,17.7,3.6,47.9,8.1,52.1,3.8,0.4,66.5,MA
54,570000,474.0,472.0,946.0,80108.0,18951.75,66.2,0.8,4.1,47.9,88.0,52.1,0.5,0.2,6.3,MA
55,610000,547.0,525.0,1072.0,83343.0,17014.78,85.9,1.6,4.7,46.5,42.9,53.4,3.6,0.1,47.1,MA
56,4370000,,,,60864.0,24310.37,58.1,0.0,67.2,49.3,30.1,50.7,2.2,0.0,0.4,MA
57,640000,525.0,506.0,1031.0,74489.0,16102.46,93.9,0.9,2.7,47.2,33.8,52.7,2.2,0.2,60.3,MA
58,4380000,416.0,402.0,818.0,50789.0,27954.15,93.3,0.0,74.9,50.7,23.6,49.3,1.2,0.0,0.3,MA
59,650000,604.0,577.0,1181.0,90946.0,20525.08,100.0,1.7,2.7,49.9,1.8,50.1,2.0,0.2,91.6,MA
60,4360000,497.0,493.0,990.0,84551.0,26306.33,100.0,4.2,70.8,58.0,15.6,42.0,3.8,0.3,5.2,MA
61,6400000,644.0,648.0,1292.0,117960.0,23344.72,98.5,8.2,4.5,49.9,5.6,49.6,6.6,0.2,74.9,MA
62,710000,552.0,528.0,1080.0,92451.0,18348.72,91.8,2.4,2.4,48.5,9.9,51.4,2.5,0.1,82.7,MA
63,720000,556.0,548.0,1104.0,84371.0,16107.25,94.9,1.0,1.7,48.6,5.9,51.4,7.0,0.0,84.3,MA
64,730000,543.0,561.0,1104.0,96958.0,24010.81,92.5,2.3,7.3,48.2,17.1,51.6,5.4,0.0,67.8,MA
65,6450000,550.0,518.0,1068.0,88109.0,20728.4,85.0,2.5,10.3,48.1,12.9,51.8,6.5,1.9000000000000001,66.0,MA
66,6500000,557.0,540.0,1097.0,82157.0,16537.96,94.1,1.5,1.9,48.3,4.5,51.6,3.8,0.1,88.2,MA
67,770000,592.0,547.0,1139.0,71763.0,17256.6,92.1,0.7,0.5,47.6,5.7,52.4,3.5,0.1,89.6,MA
68,6550000,643.0,645.0,1288.0,104766.0,21860.15,96.4,11.5,3.6,48.4,6.4,51.4,6.1,0.2,72.2,MA
69,790000,522.0,526.0,1048.0,73058.0,13660.99,95.8,8.5,7.8,48.2,12.3,51.6,1.9,0.2,69.2,MA
70,6580000,563.0,559.0,1122.0,80494.0,15953.58,93.7,1.0,1.9,49.2,10.2,50.8,3.1,0.1,83.7,MA
71,820000,597.0,580.0,1177.0,88859.0,18103.55,97.0,1.1,0.6,49.1,2.8,50.8,3.7,0.1,91.7,MA
72,830000,554.0,529.0,1083.0,77557.0,15155.67,96.3,0.9,5.0,47.5,4.4,52.5,3.1,0.5,86.1,MA
73,870000,582.0,573.0,1155.0,76921.0,18006.13,97.2,6.0,3.1,47.2,11.1,52.8,3.6,0.0,76.2,MA
74,860000,559.0,536.0,1095.0,72926.0,15682.73,88.7,3.0,1.3,48.1,14.8,51.4,3.6,0.4,76.9,MA
75,880000,568.0,566.0,1134.0,86598.0,16047.75,96.2,3.5,7.0,48.5,7.1,51.5,4.1,0.3,78.0,MA
76,4520000,428.0,410.0,838.0,106039.0,24835.64,100.0,1.0,36.7,66.1,55.2,33.9,2.5,0.3,4.3,MA
77,8170000,529.0,501.0,1030.0,89211.0,20557.03,98.7,1.8,1.8,57.6,13.8,42.1,3.9,0.2,78.5,MA
78,930000,495.0,474.0,969.0,88232.0,17044.47,81.2,5.4,13.9,49.5,62.3,50.5,1.6,0.3,16.5,MA
79,4100000,475.0,484.0,959.0,67158.0,19547.89,98.7,1.3,6.2,48.9,78.2,51.1,0.9,1.1,12.3,MA
80,940000,542.0,555.0,1097.0,82541.0,15287.17,90.7,2.1,2.8,50.1,5.9,49.9,4.1,0.7,84.5,MA
81,950000,509.0,499.0,1008.0,74117.0,16905.0,78.8,3.3,10.0,48.4,31.1,51.6,9.3,0.1,46.2,MA
82,960000,592.0,573.0,1165.0,88493.0,22868.01,87.9,1.6,4.9,47.4,8.4,52.2,6.5,1.0,77.5,MA
83,970000,467.0,454.0,921.0,80611.0,16338.69,85.3,4.5,6.6,48.0,56.1,51.9,7.0,0.0,25.8,MA
84,4130000,607.0,552.0,1159.0,71581.0,20324.69,91.9,1.8,0.9,55.5,5.5,43.6,6.9,0.5,84.4,MA
85,990000,576.0,578.0,1154.0,93364.0,20620.81,94.4,4.6,6.9,46.8,7.4,53.1,3.9,0.5,76.8,MA
86,4460000,570.0,525.0,1095.0,63227.0,15367.85,97.6,8.9,54.8,52.2,6.7,47.8,5.1,0.6000000000000001,24.0,MA
87,1000000,564.0,571.0,1135.0,93215.0,21393.73,84.7,4.4,6.6,48.3,41.3,51.6,4.9,0.2,42.8,MA
88,4780000,607.0,560.0,1167.0,55541.0,19432.43,87.0,2.3,2.1,57.5,4.1,42.0,3.4,0.0,88.1,MA
89,1010000,583.0,569.0,1152.0,83418.0,17063.18,97.3,6.8,2.2,48.2,5.4,51.6,2.1,0.7,82.9,MA
90,8180000,510.0,479.0,989.0,84409.0,25107.13,90.2,0.0,1.2,40.1,7.4,59.9,2.4,0.7,88.3,MA
91,6650000,581.0,568.0,1149.0,77990.0,15402.08,98.0,0.6,2.6,50.0,2.5,49.9,2.8,0.0,91.4,MA
92,6700000,593.0,576.0,1169.0,72102.0,18888.77,88.2,2.5,1.6,47.9,7.2,52.1,4.3,0.2,84.3,MA
93,1030000,497.0,467.0,964.0,70926.0,15454.58,80.3,1.7,3.2,47.6,25.5,52.3,7.8,0.1,61.7,MA
94,6720000,595.0,549.0,1144.0,67554.0,19062.6,95.5,0.3,0.4,47.5,5.9,52.4,1.6,0.4,91.4,MA
95,1050000,561.0,556.0,1117.0,79955.0,17847.87,94.8,0.9,0.9,49.5,3.5,50.4,2.0,0.2,92.6,MA
96,6740000,,,,73507.0,20020.83,72.7,0.4,1.7,47.0,15.3,52.8,6.7,0.6000000000000001,75.4,MA
97,4960000,492.0,520.0,1012.0,61509.0,17159.64,93.8,1.6,12.7,51.2,47.4,48.8,4.8,0.6,32.9,MA
98,1070000,558.0,552.0,1110.0,86360.0,20131.02,85.8,1.4,1.7,48.3,13.1,51.4,4.0,0.6,79.3,MA
99,1100000,587.0,580.0,1167.0,78413.0,14926.96,95.4,13.1,2.3,48.1,6.9,51.9,2.9,0.4,74.4,MA
100,1110000,594.0,567.0,1161.0,58967.0,16403.29,97.0,1.1,0.1,46.6,9.9,52.9,3.2,0.4,85.2,MA
101,8210000,525.0,504.0,1029.0,100156.0,20978.46,97.5,2.0,3.2,44.0,14.4,55.6,5.9,0.7,73.8,MA
102,8230000,461.0,475.0,936.0,90557.0,23074.47,98.2,0.9,1.4,51.4,82.2,48.3,0.3,0.1,15.1,MA
103,8280000,508.0,497.0,1005.0,89676.0,21503.15,96.0,17.4,5.7,49.2,36.7,50.3,3.2,0.3,36.8,MA
104,8250000,518.0,510.0,1028.0,93545.0,22932.96,96.7,1.2,8.5,47.5,26.4,52.5,5.7,0.30000000000000004,57.7,MA
105,1140000,583.0,576.0,1159.0,59209.0,18018.75,86.4,1.4,2.4,48.8,20.9,51.1,4.4,0.1,70.7,MA
106,6730000,601.0,613.0,1214.0,84511.0,18968.5,95.9,7.1,1.4,47.8,3.8,52.0,3.6,0.4,83.6,MA
107,1170000,568.0,532.0,1100.0,77043.0,17172.1,97.4,4.3,4.7,45.7,10.0,53.7,2.6,2.6,75.8,MA
108,6750000,614.0,598.0,1212.0,92031.0,20544.67,95.5,4.2,0.5,51.5,4.8,48.5,2.7,0.2,87.6,MA
109,4990000,546.0,534.0,1080.0,56858.0,15888.59,98.1,2.9,28.9,48.6,39.2,51.3,2.9,1.3,24.9,MA
110,6800000,570.0,579.0,1149.0,78965.0,16970.87,95.5,2.1,2.7,49.4,8.7,50.5,3.7,0.30000000000000004,82.5,MA
111,6830000,608.0,591.0,1199.0,74105.0,21810.18,94.2,1.2,0.3,54.6,4.2,45.1,3.2,0.3,90.8,MA
112,1220000,567.0,544.0,1111.0,89078.0,15268.87,96.7,2.1,1.3,48.2,2.6,51.7,1.0,0.0,93.0,MA
113,1250000,642.0,631.0,1273.0,86248.0,21006.0,97.9,12.2,2.4,49.9,4.3,50.0,5.0,0.0,76.1,MA
114,1270000,623.0,542.0,1165.0,71137.0,15224.63,95.2,1.3,0.5,49.4,3.8,49.9,2.8,0.0,91.6,MA
115,1280000,559.0,547.0,1106.0,77182.0,16705.23,82.2,1.8,5.3,47.7,42.7,52.3,2.4,0.30000000000000004,47.5,MA
116,1310000,612.0,611.0,1223.0,99261.0,17319.48,96.6,3.1,2.3,48.6,3.6,51.3,3.2,0.2,87.6,MA
117,1330000,545.0,529.0,1074.0,75090.0,16394.15,87.1,6.1,22.7,48.8,15.2,51.1,8.3,0.4,47.3,MA
118,1360000,609.0,603.0,1212.0,87172.0,15822.37,96.3,10.3,1.3,47.7,5.1,52.1,2.8,0.7,79.8,MA
119,1370000,482.0,458.0,940.0,72819.0,18731.99,74.9,0.5,3.6,48.0,81.0,51.9,1.6,0.0,13.2,MA
120,6030000,530.0,510.0,1040.0,70600.0,17090.72,84.7,0.4,3.2,48.5,3.2,51.4,2.5,0.4,90.4,MA
121,1380000,584.0,566.0,1150.0,72755.0,16471.48,95.2,1.9,0.9,47.9,11.3,51.9,4.5,0.4,81.1,MA
122,1390000,620.0,635.0,1255.0,97102.0,15870.07,98.0,26.4,0.7,48.9,4.2,51.0,4.6,0.3,63.8,MA
123,1410000,574.0,565.0,1139.0,84324.0,19882.96,87.5,1.5,2.8,51.6,15.4,48.2,3.0,0.1,77.2,MA
124,1420000,571.0,542.0,1113.0,88566.0,26154.61,88.6,1.4,1.5,46.3,3.6,53.7,2.5,0.2,90.8,MA
125,4350000,638.0,650.0,1288.0,66797.0,16920.56,88.5,8.9,7.7,52.1,11.0,47.4,6.1,0.4,66.0,MA
126,1440000,598.0,585.0,1183.0,83657.0,20686.9,90.9,1.3,0.9,51.0,7.5,48.7,4.0,0.2,86.1,MA
127,4290000,,,,64648.0,19570.45,95.0,3.3,17.5,50.0,70.9,49.9,2.5,0.30000000000000004,5.5,MA
